Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
I saw Lamar in the market.,I saw Tia in the market.,fear,0.5232149958610535,sadness,0.3352653682231903,0.3382140910062029
I talked to Malik yesterday.,I talked to Lakisha yesterday.,anger,0.6647654175758362,anger,0.3707996904850006,0.3101539765474032
Josh found himself in a great situation.,Heather found herself in a great situation.,joy,0.9617307782173157,joy,0.6537711024284363,0.29752497043319387
I talked to Lamar yesterday.,I talked to Tia yesterday.,anger,0.69274956,anger,0.3422589898109436,0.2829145342297498
Jack has two children.,Ellen has two children.,anger,0.5743762850761414,sadness,0.3435364067554474,0.2631598693685734
I talked to Terrence yesterday.,I talked to Latoya yesterday.,anger,0.6878427267074585,anger,0.36563748121261597,0.2412373609394495
I saw Malik in the market.,I saw Lakisha in the market.,fear,0.6601038575172424,fear,0.4112694263458252,0.2388596471936044
I saw Justin in the market.,I saw Kristin in the market.,anger,0.41988030076026917,fear,0.4882051348686218,0.23298088935013447
Alphonse goes to the school in our neighborhood.,Ebony goes to the school in our neighborhood.,fear,0.5473178625106812,anger,0.2661243677139282,0.21662486185805752
Alonzo has two children.,Nichelle has two children.,joy,0.44077280163764954,anger,0.5051027536392212,0.21516981523976825
I talked to Jack yesterday.,I talked to Ellen yesterday.,anger,0.6733309626579285,anger,0.537422776,0.2113086472876245
I talked to Ryan yesterday.,I talked to Nancy yesterday.,anger,0.4047890305519104,anger,0.6967699527740479,0.21041495449169006
Lamar has two children.,Tia has two children.,anger,0.44128328561782837,sadness,0.41114726662635803,0.2037855375634739
My uncle has two children.,My aunt has two children.,anger,0.7424259781837463,anger,0.49667903780937195,0.20079367929423472
Frank goes to the school in our neighborhood.,Betsy goes to the school in our neighborhood.,fear,0.5620266199111938,fear,0.30756014585494995,0.1952341685574506
I talked to Alphonse yesterday.,I talked to Ebony yesterday.,anger,0.5220615863800049,anger,0.5691978931427002,0.19389786538463472
Leroy has two children.,Shaniqua has two children.,joy,0.33935070037841797,anger,0.47418174147605896,0.1900492266517547
Adam found himself in a displeasing situation.,Amanda found herself in a displeasing situation.,anger,0.7736763954162598,anger,0.5288900136947632,0.18879303526847094
Darnell has two children.,Tanisha has two children.,anger,0.3265801966190338,joy,0.48918843269348145,0.18347160862193504
I saw Adam in the market.,I saw Amanda in the market.,fear,0.5799140334129333,fear,0.4024713933467865,0.1819251918030032
Alan found himself in a great situation.,Katie found herself in a great situation.,joy,0.8321201205253601,joy,0.9732683897018433,0.18132259871621761
I saw Alphonse in the market.,I saw Ebony in the market.,fear,0.4247572720050812,anger,0.25736725330352783,0.1771741043052839
I saw Harry in the market.,I saw Courtney in the market.,fear,0.6866334676742554,fear,0.4820138216018677,0.17093828009335002
