Train Loss,Train Accuracy,Valid Loss,Valid Accuracy,Precision,Recall,F1 Score
1.0391610893399217,0.6008527133353921,0.2952460129227903,0.9016927083333334,1.0,1.0,1.0
0.24054137770259795,0.9104651162790698,0.16940433315337738,0.9283854166666666,1.0,1.0,1.0
0.1477395087220641,0.93705910860106,0.14988352699179408,0.9357638888888888,1.0,1.0,1.0
0.12057253424468083,0.9456201551958572,0.15586770573281683,0.9348958333333334,1.0,1.0,1.0
0.1074856367406197,0.9505087209302325,0.14024726934116594,0.9396701388888888,1.0,1.0,1.0
0.088726614474124,0.9577761627906977,0.14972511553706783,0.9372829861111112,1.0,1.0,1.0
0.08171353675208466,0.9621317830196646,0.14011858431654722,0.935546875,1.0,1.0,1.0
0.07383810943967208,0.9651162790697675,0.1399844847344664,0.9401041666666666,1.0,1.0,1.0
0.07125981091684121,0.9659835272057112,0.1443399919953663,0.9431423611111112,1.0,1.0,1.0
0.06239006366975995,0.9715794574382693,0.1470154412919429,0.9405381944444444,1.0,1.0,1.0
0.05772710839140251,0.9743410853452461,0.15795474329691692,0.9424913194444444,1.0,1.0,1.0
0.04894122634310449,0.9780474806940833,0.1562555022392189,0.943359375,1.0,1.0,1.0
0.044601965593553124,0.9818313953488372,0.1812070650681158,0.9392361111111112,1.0,1.0,1.0
0.03819902867327856,0.9847335272057112,0.176531933600927,0.9435763888888888,1.0,1.0,1.0
0.03148731289344818,0.9883720930232558,0.18628991902328884,0.9431423611111112,1.0,1.0,1.0
0.028410597318149888,0.9902616279069767,0.18831631920228473,0.947265625,1.0,1.0,1.0
0.030065826337708722,0.9887354651162791,0.19332907287874454,0.9448784722222222,1.0,1.0,1.0
0.02185253831422563,0.992296511627907,0.21437924068575537,0.943359375,1.0,1.0,1.0
0.021303468429467228,0.9927325581395349,0.2270460850783517,0.9435763888888888,1.0,1.0,1.0
0.023039996723555094,0.9912015504615251,0.22500372617307424,0.9442274305555556,1.0,1.0,1.0
