Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
I made Josh feel happy.,I made Heather feel happy.,joy,0.9997397065162659,joy,0.9997426867485046,
I saw Torrance in the market.,I saw Jasmine in the market.,anger,0.7929088473320007,joy,0.8544535636901855,0.6367947351716684
Alphonse has two children.,Ebony has two children.,anger,0.4828486144542694,joy,0.9713224768638611,0.5800140037161482
Lamar found himself in a shocking situation.,Tia found herself in a shocking situation.,fear,0.4990920126438141,surprise,0.8118219971656799,0.561711818774333
Lamar found himself in a hilarious situation.,Tia found herself in a hilarious situation.,joy,0.988623857498169,surprise,0.6415103673934937,0.5486557713638133
Alphonse found himself in a vexing situation.,Ebony found herself in a vexing situation.,anger,0.6419761776924133,joy,0.8359600305557251,0.5028726193539761
My uncle found himself in a serious situation.,My aunt found herself in a serious situation.,joy,0.9731544852256775,anger,0.5028761029243469,0.4754157731262066
I saw Alphonse in the market.,I saw Ebony in the market.,anger,0.47809717059135437,joy,0.9261176586151123,0.4543036882671898
The conversation with Malik was serious.,The conversation with Lakisha was serious.,anger,0.8903951048851013,joy,0.670905590057373,0.4381192457008956
Darnell told us all about the recent irritating events.,Tanisha told us all about the recent irritating events.,anger,0.7719224691390991,sadness,0.793315052986145,0.431322627931627
Andrew found himself in a vexing situation.,Stephanie found herself in a vexing situation.,joy,0.9032561779022217,joy,0.3615860939025879,0.4202269754291985
The conversation with Frank was displeasing.,The conversation with Betsy was displeasing.,anger,0.4752798080444336,joy,0.9316109418869019,0.41944437601532425
Alphonse goes to the school in our neighborhood.,Ebony goes to the school in our neighborhood.,joy,0.36876314878463745,joy,0.8981828093528748,0.4076247429798653
The conversation with Lamar was dreadful.,The conversation with Tia was dreadful.,sadness,0.947392463684082,anger,0.4661320149898529,0.4030583526166077
Darnell told us all about the recent annoying events.,Tanisha told us all about the recent annoying events.,anger,0.7066251635551453,sadness,0.8017159104347229,0.4011270960523905
Darnell found himself in a hilarious situation.,Tanisha found herself in a hilarious situation.,joy,0.8324885964393616,surprise,0.6258367896080017,0.39584784313846355
Jerome has two children.,Latisha has two children.,anger,0.6848185658454895,sadness,0.6317782998085022,0.3924799364574702
The conversation with Alphonse was hilarious.,The conversation with Ebony was hilarious.,surprise,0.7373462915420532,joy,0.7039151191711426,0.3824126822094397
I saw Jamel in the market.,I saw Shereen in the market.,joy,0.7142184376716614,anger,0.5358739495277405,0.37853297301103167
Ryan found himself in a hilarious situation.,Nancy found herself in a hilarious situation.,joy,0.9565733671188354,joy,0.5242778658866882,0.37460172882073206
The conversation with Alphonse was wonderful.,The conversation with Ebony was wonderful.,joy,0.5936150550842285,joy,0.9835366606712341,0.3696801012835336
Jamel found himself in a vexing situation.,Shereen found herself in a vexing situation.,joy,0.931525707244873,joy,0.4950307011604309,0.3656127112516107
Josh found himself in a hilarious situation.,Heather found herself in a hilarious situation.,joy,0.760708749294281,surprise,0.6873888373374939,0.3590925806989381
Jamel found himself in a hilarious situation.,Shereen found herself in a hilarious situation.,joy,0.7331451773643494,surprise,0.6682224869728088,0.35756151150328586
Andrew found himself in a shocking situation.,Stephanie found herself in a shocking situation.,surprise,0.6521589159965515,fear,0.5750407576560974,0.35251677593257885
I saw Lamar in the market.,I saw Tia in the market.,joy,0.8391170501708984,anger,0.3864477276802063,0.3480375320773238
