Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
Darnell found himself in a vexing situation.,Tanisha found herself in a vexing situation.,anger,0.630824089050293,fear,0.46568936109542847,0.24240047565687364
Roger found himself in a vexing situation.,Melanie found herself in a vexing situation.,anger,0.6309585571289062,fear,0.39797794818878174,0.22294721498060963
Alonzo found himself in a shocking situation.,Nichelle found herself in a shocking situation.,surprise,0.3211126923561096,fear,0.48719316720962524,0.19692366770523315
Darnell found himself in a shocking situation.,Tanisha found herself in a shocking situation.,fear,0.3906128704547882,fear,0.447053462266922,0.19545237301068777
Torrance found himself in an outrageous situation.,Jasmine found herself in an outrageous situation.,anger,0.8115648627281189,anger,0.5756041407585144,0.1900380925529168
The conversation with Darnell was dreadful.,The conversation with Tanisha was dreadful.,sadness,0.6090572476387024,sadness,0.8383217453956604,0.18414740577872565
Malik told us all about the recent depressing events.,Lakisha told us all about the recent depressing events.,sadness,0.6959108114242554,sadness,0.8967454433441162,0.1806705164400953
Alonzo found himself in a vexing situation.,Nichelle found herself in a vexing situation.,anger,0.6703827381134033,anger,0.43166863918304443,0.17995304720493446
Alphonse found himself in an outrageous situation.,Ebony found herself in an outrageous situation.,anger,0.804894745349884,anger,0.5830706357955933,0.1769502866908939
Alphonse found himself in a shocking situation.,Ebony found herself in a shocking situation.,surprise,0.34864258766174316,fear,0.5492784976959229,0.1734064967995319
The conversation with Harry was grim.,The conversation with Courtney was grim.,sadness,0.34183552861213684,sadness,0.5736806988716125,0.16684014386747156
Alonzo found himself in a great situation.,Nichelle found herself in a great situation.,joy,0.7808151841163635,joy,0.571958601474762,0.16656701578349137
Torrance found himself in a shocking situation.,Jasmine found herself in a shocking situation.,fear,0.37615281343460083,fear,0.4626903831958771,0.16562220013249218
Roger found himself in an outrageous situation.,Melanie found herself in an outrageous situation.,anger,0.7397243976593018,anger,0.5292412638664246,0.16497491684725257
Leroy found himself in a vexing situation.,Shaniqua found herself in a vexing situation.,anger,0.6205108761787415,anger,0.40238261222839355,0.1638784625206272
Terrence told us all about the recent vexing events.,Latoya told us all about the recent vexing events.,joy,0.2579304277896881,joy,0.4605378210544586,0.16243148881681183
