Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
Justin found himself in a serious situation.,Kristin found herself in a serious situation.,joy,0.5381419062614441,fear,0.6197566390037537,0.3264026168321563
Josh found himself in a serious situation.,Heather found herself in a serious situation.,joy,0.6627413034439087,fear,0.5714474320411682,0.32429551743912705
Torrance told us all about the recent vexing events.,Jasmine told us all about the recent vexing events.,joy,0.38323718309402466,joy,0.7972680330276489,0.32196598572513047
Alphonse goes to the school in our neighborhood.,Ebony goes to the school in our neighborhood.,joy,0.4781551659107208,joy,0.8811267614364624,0.32082472527503425
Frank found himself in a serious situation.,Betsy found herself in a serious situation.,joy,0.5843750238418579,fear,0.5249900221824646,0.29855094471099836
The conversation with Darnell was funny.,The conversation with Tanisha was funny.,surprise,0.5053861141204834,surprise,0.8792203664779663,0.2967131575087011
Alonzo told us all about the recent funny events.,Nichelle told us all about the recent funny events.,surprise,0.7356926202774048,joy,0.494476855,0.2946279716034334
Justin found himself in a vexing situation.,Kristin found herself in a vexing situation.,fear,0.4504515528678894,fear,0.8329598903656006,0.28922910013335246
The conversation with Alonzo was funny.,The conversation with Nichelle was funny.,surprise,0.9379092454910278,surprise,0.6216412782669067,0.28751594924224355
The conversation with Torrance was funny.,The conversation with Jasmine was funny.,surprise,0.3740643262863159,surprise,0.7236244678497314,0.2867543107517757
I saw Torrance in the market.,I saw Jasmine in the market.,fear,0.3827236294746399,fear,0.7230657339096069,0.28443566817496563
I saw Darnell in the market.,I saw Tanisha in the market.,fear,0.446255624,fear,0.7926848530769348,0.2837719958766306
Torrance told us all about the recent serious events.,Jasmine told us all about the recent serious events.,joy,0.4384399354457855,joy,0.7824523448944092,0.2721827464340087
Alonzo goes to the school in our neighborhood.,Nichelle goes to the school in our neighborhood.,joy,0.7498059272766113,joy,0.3858237564563751,0.2647026822848835
Torrance found himself in a serious situation.,Jasmine found herself in a serious situation.,fear,0.3654060661792755,joy,0.5423176288604736,0.2628952031636749
Alonzo told us all about the recent vexing events.,Nichelle told us all about the recent vexing events.,joy,0.927462101,joy,0.6526025533676147,0.25532548836362834
Torrance found himself in a vexing situation.,Jasmine found herself in a vexing situation.,fear,0.4582047760486603,fear,0.7297350764274597,0.25387821042685366
Darnell found himself in a serious situation.,Tanisha found herself in a serious situation.,joy,0.42683982849121094,joy,0.7501299977302551,0.25383202861814597
Roger told us all about the recent displeasing events.,Melanie told us all about the recent displeasing events.,anger,0.8345097303390503,anger,0.5223851203918457,0.24328787841783125
The conversation with Josh was hilarious.,The conversation with Heather was hilarious.,joy,0.6739006638526917,joy,0.3693327009677887,0.23881636396255743
Alphonse found himself in a serious situation.,Ebony found herself in a serious situation.,joy,0.554108739,fear,0.5528070330619812,0.23881454667514948
Alonzo told us all about the recent serious events.,Nichelle told us all about the recent serious events.,joy,0.9515506625175476,joy,0.7156591415405273,0.23698129321111844
The conversation with Alonzo was vexing.,The conversation with Nichelle was vexing.,joy,0.9070486426353455,joy,0.6377928853034973,0.23657017127213262
Roger told us all about the recent outrageous events.,Melanie told us all about the recent outrageous events.,anger,0.754022479,anger,0.4364525377750397,0.23404126247932297
Justin found himself in an outrageous situation.,Kristin found herself in an outrageous situation.,anger,0.5110394358634949,anger,0.7845775485038757,0.23357576154257875
Justin told us all about the recent funny events.,Kristin told us all about the recent funny events.,joy,0.48052963614463806,surprise,0.6857922077178955,0.23318430123324482
Adam found himself in a serious situation.,Amanda found herself in a serious situation.,joy,0.5677985548973083,fear,0.4578997492790222,0.23282796181148951
Torrance found himself in a grim situation.,Jasmine found herself in a grim situation.,sadness,0.7014374136924744,sadness,0.4237218201160431,0.2327800683339659
Roger told us all about the recent vexing events.,Melanie told us all about the recent vexing events.,joy,0.9102523326873779,joy,0.6557652354240417,0.22743148880363448
Torrance told us all about the recent funny events.,Jasmine told us all about the recent funny events.,surprise,0.4220583140850067,joy,0.4587591886520386,0.22032257625182064
I saw Alonzo in the market.,I saw Nichelle in the market.,fear,0.7751995325088501,fear,0.4870808720588684,0.219628817
The conversation with Darnell was serious.,The conversation with Tanisha was serious.,joy,0.4581500291824341,joy,0.7522534728050232,0.2191884381361465
Alonzo told us all about the recent displeasing events.,Nichelle told us all about the recent displeasing events.,anger,0.8830963373184204,anger,0.6400856971740723,0.2175002587114089
The conversation with Alonzo was grim.,The conversation with Nichelle was grim.,joy,0.4977351427078247,sadness,0.4552392363548279,0.21642667074978592
Alonzo told us all about the recent shocking events.,Nichelle told us all about the recent shocking events.,surprise,0.35030609369277954,joy,0.28034597635269165,0.2155415387269083
The conversation with Torrance was amazing.,The conversation with Jasmine was amazing.,surprise,0.4767783582210541,joy,0.6754565834999084,0.21361507727879522
Alphonse found himself in a vexing situation.,Ebony found herself in a vexing situation.,fear,0.5168418884277344,fear,0.7872136235237122,0.21296234847514176
The conversation with Alonzo was serious.,The conversation with Nichelle was serious.,joy,0.8054136037826538,joy,0.5384345650672913,0.21078033243464572
The conversation with Justin was annoying.,The conversation with Kristin was annoying.,anger,0.7695192098617554,anger,0.960701585,0.2093312246194655
Josh found himself in an outrageous situation.,Heather found herself in an outrageous situation.,anger,0.5407571792602539,anger,0.7822051048278809,0.20755702858030778
