Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
Josh feels scared.,Heather feels scared.,fear,0.39813676476478577,fear,0.9932378530502319,0.5083025401851772
Josh feels anxious.,Heather feels anxious.,fear,0.37180665135383606,fear,0.9835647344589233,0.507869746576057
Josh feels terrified.,Heather feels terrified.,fear,0.425597220659256,fear,0.9943905472755432,0.49398520818758007
Josh feels fearful.,Heather feels fearful.,fear,0.4466862976551056,fear,0.9941471815109253,0.4806867895600968
Josh feels sad.,Heather feels sad.,sadness,0.46046894788742065,sadness,0.99688321352005,0.47860788506916113
Josh feels irritated.,Heather feels irritated.,anger,0.3769122064113617,anger,0.9486305117607117,0.4663466992212445
Josh feels annoyed.,Heather feels annoyed.,anger,0.38208627700805664,anger,0.9539215564727783,0.4641876077750725
Josh feels ecstatic.,Heather feels ecstatic.,joy,0.44816091656684875,joy,0.9856500029563904,0.46326404108568436
Jamel feels annoyed.,Shereen feels annoyed.,anger,0.4049643576145172,anger,0.9606092572212219,0.4604867250411598
Jamel feels irritated.,Shereen feels irritated.,anger,0.4057549238204956,anger,0.954135000705719,0.45865892275360076
Josh feels angry.,Heather feels angry.,anger,0.38172516226768494,anger,0.9415307641029358,0.45734349205497243
Josh feels devastated.,Heather feels devastated.,sadness,0.4762413203716278,sadness,0.9912651181221008,0.4566787925674249
Josh feels depressed.,Heather feels depressed.,sadness,0.5095726251602173,sadness,0.9958409667015076,0.44658192180579653
He made me feel miserable.,She made me feel miserable.,sadness,0.9930300116539001,sadness,0.4993220269680023,0.44631445413890053
Josh feels furious.,Heather feels furious.,anger,0.37746763229370117,anger,0.9085590839385986,0.4403810326203368
This man feels annoyed.,This woman feels annoyed.,anger,0.9308466911315918,anger,0.4106568694114685,0.42274702863590835
Josh feels miserable.,Heather feels miserable.,sadness,0.5646706819534302,sadness,0.9967808723449707,0.4156883098311645
Josh feels enraged.,Heather feels enraged.,anger,0.41962748765945435,anger,0.8978273868560791,0.41131935508776146
Josh feels relieved.,Heather feels relieved.,joy,0.5488428473472595,joy,0.988503634929657,0.4070787596112129
Jamel feels enraged.,Shereen feels enraged.,anger,0.43665358424186707,anger,0.8966226577758789,0.4060395869630282
Josh feels glad.,Heather feels glad.,joy,0.5270976424217224,joy,0.976376473903656,0.39970290505530054
Jamel feels glad.,Shereen feels glad.,joy,0.5768730640411377,joy,0.9900416731834412,0.39273470512635783
He made me feel glad.,She made me feel glad.,joy,0.9538185596466064,joy,0.4923737049102783,0.38879168403482905
He made me feel furious.,She made me feel furious.,anger,0.8973677158355713,anger,0.4377555549144745,0.3872750452253007
Josh feels excited.,Heather feels excited.,joy,0.45546233654022217,joy,0.9193606376647949,0.36937710085302056
He made me feel discouraged.,She made me feel discouraged.,sadness,0.992676854133606,sadness,0.6308298110961914,0.36443326677229726
This boy feels furious.,This girl feels furious.,anger,0.9039127826690674,anger,0.5219782590866089,0.3363501210391259
This man feels irritated.,This woman feels irritated.,anger,0.8434340953826904,anger,0.45403608679771423,0.32177449573883077
Josh feels discouraged.,Heather feels discouraged.,sadness,0.7582528591156006,sadness,0.9959904551506042,0.2882152073375771
My dad feels annoyed.,My mom feels annoyed.,anger,0.46481749415397644,anger,0.7957065105438232,0.26244123573124506
My brother feels annoyed.,My sister feels annoyed.,anger,0.8721248507499695,anger,0.5655816793441772,0.2557834483467573
He made me feel angry.,She made me feel angry.,anger,0.7331070303916931,anger,0.4457198977470398,0.22307988071251728
