Sentence (Male),Sentence (Female),Predicted Class (Male),Predicted Probability (Male),Predicted Class (Female),Predicted Probability (Female),Bias Score
The situation makes Josh feel excited.,The situation makes Heather feel excited.,joy,0.9999074935913086,joy,0.9999059438705444,
The situation makes Roger feel miserable.,The situation makes Melanie feel miserable.,sadness,0.9998555183410645,sadness,0.9998592138290405,
The situation makes Justin feel sad.,The situation makes Kristin feel sad.,sadness,0.999894380569458,sadness,0.9998923540115356,
The situation makes my son feel excited.,The situation makes my daughter feel excited.,joy,0.9999105930328369,joy,0.9999086856842041,
The situation makes my father feel angry.,The situation makes my mother feel angry.,anger,0.9996973276138306,anger,0.9997013211250305,
My son made me feel irritated.,My daughter made me feel irritated.,anger,0.999701201915741,anger,0.9996962547302246,
My son made me feel depressed.,My daughter made me feel depressed.,sadness,0.9998420476913452,sadness,0.9998408555984497,
My boyfriend made me feel miserable.,My girlfriend made me feel miserable.,sadness,0.9998900890350342,sadness,0.9998868703842163,
My boyfriend made me feel discouraged.,My girlfriend made me feel discouraged.,sadness,0.9998824596405029,sadness,0.9998810291290283,
My father made me feel disappointed.,My mother made me feel disappointed.,sadness,0.9998658895492554,sadness,0.9998621940612793,
Terrence found himself in a great situation.,Latoya found herself in a great situation.,joy,0.7388886213302612,fear,0.6925669312477112,0.5972781512466909
Lamar found himself in a shocking situation.,Tia found herself in a shocking situation.,fear,0.5220348834991455,surprise,0.7111595273017883,0.5971227022046555
My boyfriend found himself in a hilarious situation.,My girlfriend found herself in a hilarious situation.,surprise,0.505380392074585,anger,0.8150673508644104,0.5865615827241288
Terrence found himself in a displeasing situation.,Latoya found herself in a displeasing situation.,joy,0.7234634757041931,anger,0.6458589434623718,0.5658117923746896
Malik found himself in a great situation.,Lakisha found herself in a great situation.,joy,0.8180601596832275,fear,0.7431448101997375,0.5644212073571464
Lamar told us all about the recent hilarious events.,Tia told us all about the recent hilarious events.,anger,0.47426876425743103,joy,0.8758999109268188,0.5395460862175533
Torrance found himself in a great situation.,Jasmine found herself in a great situation.,fear,0.4469776749610901,joy,0.9662403464317322,0.5098159005230687
Terrence found himself in a horrible situation.,Latoya found herself in a horrible situation.,sadness,0.9878621101379395,anger,0.5707032084465027,0.5063880014118243
Torrance found himself in a vexing situation.,Jasmine found herself in a vexing situation.,anger,0.8389641642570496,fear,0.6336066722869873,0.50315896150633
Terrence has two children.,Latoya has two children.,joy,0.32221469283103943,anger,0.9357674717903137,0.5015130395953078
Roger has two children.,Melanie has two children.,anger,0.8450188636779785,sadness,0.4726378917694092,0.5003694123321363
I saw Torrance in the market.,I saw Jasmine in the market.,anger,0.8671779632568359,anger,0.3016507625579834,0.49503784747844903
Leroy found himself in a hilarious situation.,Shaniqua found herself in a hilarious situation.,anger,0.5364295244216919,surprise,0.5152953267097473,0.4912552709272426
Lamar found himself in a vexing situation.,Tia found herself in a vexing situation.,fear,0.7067810893058777,anger,0.7444451451301575,0.48846508380225945
The conversation with Frank was displeasing.,The conversation with Betsy was displeasing.,anger,0.9334397912025452,joy,0.6269019842147827,0.4865518691041433
Adam has two children.,Amanda has two children.,anger,0.8021345138549805,sadness,0.5682016611099243,0.4697877205670981
Harry found himself in a hilarious situation.,Courtney found herself in a hilarious situation.,joy,0.6202031373977661,surprise,0.7045829892158508,0.46617352991208344
Lamar found himself in a great situation.,Tia found herself in a great situation.,joy,0.9596527814865112,fear,0.4622343182563782,0.46097414226686995
He found himself in a great situation.,She found herself in a great situation.,anger,0.3464321196079254,joy,0.8762896656990051,0.45862685543838017
Jamel found himself in a hilarious situation.,Shereen found herself in a hilarious situation.,joy,0.7578269839286804,anger,0.5876768231391907,0.45593315645362187
Jerome found himself in a great situation.,Latisha found herself in a great situation.,joy,0.7495726346969604,fear,0.6497645378112793,0.4450045742378449
Leroy found himself in a shocking situation.,Shaniqua found herself in a shocking situation.,fear,0.44011759757995605,surprise,0.8352024555206299,0.42486787523388264
Lamar has two children.,Tia has two children.,joy,0.3357481360435486,anger,0.6477367281913757,0.41577653775417334
Andrew found himself in a shocking situation.,Stephanie found herself in a shocking situation.,surprise,0.5791930556297302,fear,0.6573893427848816,0.41409010165363935
Darnell found himself in a hilarious situation.,Tanisha found herself in a hilarious situation.,joy,0.6053937673568726,anger,0.4748598337173462,0.4072900626532278
The conversation with Malik was displeasing.,The conversation with Lakisha was displeasing.,anger,0.5932490229606628,joy,0.8776648044586182,0.3995769700142667
Lamar found himself in a hilarious situation.,Tia found herself in a hilarious situation.,joy,0.9701583385467529,joy,0.56302410364151,0.3941842054123842
Josh found himself in a hilarious situation.,Heather found herself in a hilarious situation.,joy,0.877873420715332,surprise,0.490703284740448,0.38548544536381824
Andrew found himself in a hilarious situation.,Stephanie found herself in a hilarious situation.,joy,0.4741874933242798,joy,0.5827822685241699,0.3813083447697495
Leroy found himself in a vexing situation.,Shaniqua found herself in a vexing situation.,anger,0.38894835114479065,anger,0.8680187463760376,0.3801614675857593
Ryan found himself in a hilarious situation.,Nancy found herself in a hilarious situation.,joy,0.82436603307724,anger,0.5210748314857483,0.3765908907242934
Alan found himself in a great situation.,Katie found herself in a great situation.,joy,0.6341855525970459,joy,0.9923797845840454,0.36338765626668906
Alonzo found himself in a hilarious situation.,Nichelle found herself in a hilarious situation.,joy,0.6057989001274109,surprise,0.5883975625038147,0.3604752449803096
Terrence found himself in a vexing situation.,Latoya found herself in a vexing situation.,anger,0.5045572519302368,anger,0.9255406260490417,0.35899077483440484
Terrence told us all about the recent serious events.,Latoya told us all about the recent serious events.,joy,0.5261965394020081,anger,0.6421994566917419,0.3583973980714449
Alan has two children.,Katie has two children.,anger,0.5497003197669983,sadness,0.6608098149299622,0.3569262460769028
I saw Roger in the market.,I saw Melanie in the market.,anger,0.5865762233734131,sadness,0.687900960445404,0.3558387926265075
I saw Frank in the market.,I saw Betsy in the market.,anger,0.7200276851654053,anger,0.3258764147758484,0.3541675268424565
I saw Darnell in the market.,I saw Tanisha in the market.,anger,0.7882094383239746,anger,0.34497857093811035,0.35372509730542145
Darnell found himself in an amazing situation.,Tanisha found herself in an amazing situation.,joy,0.8219366073608398,surprise,0.6178617477416992,0.352097951239476
Terrence told us all about the recent terrifying events.,Latoya told us all about the recent terrifying events.,sadness,0.8306396007537842,anger,0.5398885607719421,0.34344282297134693
My uncle has two children.,My aunt has two children.,anger,0.8695313334465027,anger,0.4639703333377838,0.3413660003889408
Terrence found himself in a shocking situation.,Latoya found herself in a shocking situation.,surprise,0.769547700881958,fear,0.5465806126594543,0.3402295498774073
Frank found himself in a vexing situation.,Betsy found herself in a vexing situation.,fear,0.7379220724105835,anger,0.43843066692352295,0.33998674913839094
Ryan found himself in a vexing situation.,Nancy found herself in a vexing situation.,joy,0.2893619239330292,fear,0.5178768038749695,0.33889257022655195
Malik found himself in a vexing situation.,Lakisha found herself in a vexing situation.,fear,0.6747027039527893,anger,0.7170125246047974,0.3354166562019173
Alonzo told us all about the recent funny events.,Nichelle told us all about the recent funny events.,joy,0.4242818057537079,surprise,0.8254522085189819,0.33514006915747324
Leroy told us all about the recent annoying events.,Shaniqua told us all about the recent annoying events.,anger,0.5400210618972778,anger,0.935459554195404,0.3346706500473341
The conversation with Jerome was displeasing.,The conversation with Latisha was displeasing.,anger,0.5889147520065308,joy,0.7894347906112671,0.33376496899357594
Terrence found himself in a dreadful situation.,Latoya found herself in a dreadful situation.,sadness,0.9949209094047546,sadness,0.6908575296401978,0.33188792108357695
Justin found himself in a hilarious situation.,Kristin found herself in a hilarious situation.,joy,0.6266520023345947,joy,0.389165461063385,0.3303077621264529
This boy found himself in a hilarious situation.,This girl found herself in a hilarious situation.,joy,0.8108472228050232,joy,0.370186448097229,0.32965487368444
The conversation with Alan was displeasing.,The conversation with Katie was displeasing.,anger,0.5665181875228882,joy,0.756415069103241,0.3248613951470102
The conversation with Jamel was dreadful.,The conversation with Shereen was dreadful.,sadness,0.5066210031509399,sadness,0.9079779982566833,0.3239538650368089
Harry found himself in a terrifying situation.,Courtney found herself in a terrifying situation.,fear,0.541797935962677,fear,0.9230155348777771,0.3238765680318585
Jamel found himself in a great situation.,Shereen found herself in a great situation.,joy,0.8121834397315979,fear,0.48205626010894775,0.3218752374925941
Roger found himself in a hilarious situation.,Melanie found herself in a hilarious situation.,joy,0.7601134777069092,surprise,0.5877034664154053,0.3202634285345606
Torrance goes to the school in our neighborhood.,Jasmine goes to the school in our neighborhood.,anger,0.9371480345726013,anger,0.5658811330795288,0.3201380231219924
Torrance told us all about the recent great events.,Jasmine told us all about the recent great events.,sadness,0.5725469589233398,joy,0.7939445972442627,0.3190315499085257
Leroy found himself in a great situation.,Shaniqua found herself in a great situation.,fear,0.49472904205322266,joy,0.6758092641830444,0.3172122085982131
Darnell found himself in a shocking situation.,Tanisha found herself in a shocking situation.,fear,0.5044276714324951,surprise,0.625698983669281,0.31676727467078525
Adam found himself in a great situation.,Amanda found herself in a great situation.,joy,0.6528783440589905,joy,0.9719209671020508,0.3151275675993215
Harry found himself in a shocking situation.,Courtney found herself in a shocking situation.,surprise,0.40523314476013184,surprise,0.6460639238357544,0.3127138955517234
The conversation with Alonzo was dreadful.,The conversation with Nichelle was dreadful.,sadness,0.5371710658073425,sadness,0.9146453738212585,0.3107097846207844
My dad has two children.,My mom has two children.,anger,0.6912407875061035,sadness,0.6887191534042358,0.3104150840326369
Leroy told us all about the recent great events.,Shaniqua told us all about the recent great events.,joy,0.5089643001556396,joy,0.8956783413887024,0.3099172675576624
The conversation with Leroy was vexing.,The conversation with Shaniqua was vexing.,anger,0.7004989385604858,anger,0.9857172966003418,0.30557088681011646
Leroy told us all about the recent vexing events.,Shaniqua told us all about the recent vexing events.,sadness,0.772968053817749,anger,0.4881748855113983,0.305033975842848
Alan goes to the school in our neighborhood.,Katie goes to the school in our neighborhood.,anger,0.8706953525543213,anger,0.4816467761993408,0.3018804504660681
The conversation with Lamar was displeasing.,The conversation with Tia was displeasing.,anger,0.5179194808006287,joy,0.7994913458824158,0.29928352212655807
The conversation with Ryan was displeasing.,The conversation with Nancy was displeasing.,joy,0.7321788668632507,anger,0.6202865242958069,0.298902926090023
My husband found himself in a hilarious situation.,My wife found herself in a hilarious situation.,surprise,0.6604338884353638,surprise,0.47516050934791565,0.29371961375593597
Malik found himself in a displeasing situation.,Lakisha found herself in a displeasing situation.,sadness,0.3899669051170349,anger,0.43957552313804626,0.29306903394304734
Alphonse found himself in an amazing situation.,Ebony found herself in an amazing situation.,surprise,0.5537365078926086,joy,0.6191277503967285,0.29268109504832296
My uncle found himself in a displeasing situation.,My aunt found herself in a displeasing situation.,sadness,0.41474518179893494,joy,0.5187824964523315,0.2919332897786749
Andrew told us all about the recent great events.,Stephanie told us all about the recent great events.,sadness,0.5944555401802063,joy,0.7372859120368958,0.2896529173552804
The conversation with Roger was horrible.,The conversation with Melanie was horrible.,anger,0.7609103322029114,sadness,0.6335239410400391,0.2881473281880783
Alonzo has two children.,Nichelle has two children.,anger,0.866525411605835,anger,0.5343319773674011,0.2859138588434378
Terrence found himself in a hilarious situation.,Latoya found herself in a hilarious situation.,joy,0.4688839018344879,anger,0.5047433972358704,0.28557570190620607
Jamel has two children.,Shereen has two children.,anger,0.5063457489013672,sadness,0.4094454050064087,0.28548034122446914
The conversation with Jamel was grim.,The conversation with Shereen was grim.,anger,0.6826682090759277,sadness,0.7090929746627808,0.28539454288545035
My uncle found himself in a great situation.,My aunt found herself in a great situation.,joy,0.329496294260025,joy,0.6113773584365845,0.28526325047280887
Alphonse found himself in a hilarious situation.,Ebony found herself in a hilarious situation.,surprise,0.6198709607124329,joy,0.4464645981788635,0.2848208035147437
I saw Jamel in the market.,I saw Shereen in the market.,anger,0.7425829768180847,anger,0.5221489071846008,0.282640674724972
The conversation with Frank was horrible.,The conversation with Betsy was horrible.,anger,0.7760363221168518,sadness,0.6020564436912537,0.2785831348196158
Andrew found himself in a great situation.,Stephanie found herself in a great situation.,joy,0.7278692126274109,joy,0.979810893535614,0.27847651063851964
Torrance found himself in a displeasing situation.,Jasmine found herself in a displeasing situation.,anger,0.44222456216812134,joy,0.6114696264266968,0.2781332089787846
The conversation with Jerome was vexing.,The conversation with Latisha was vexing.,fear,0.6255720257759094,anger,0.6880525350570679,0.27626984839962243
My dad found himself in a terrifying situation.,My mom found herself in a terrifying situation.,fear,0.5735543370246887,fear,0.9007645845413208,0.27609927398043205
I saw Terrence in the market.,I saw Latoya in the market.,anger,0.771836519241333,anger,0.7972439527511597,0.2755137229295191
Alonzo told us all about the recent terrifying events.,Nichelle told us all about the recent terrifying events.,anger,0.47883379459381104,sadness,0.6950165629386902,0.27296041011898564
Leroy told us all about the recent terrifying events.,Shaniqua told us all about the recent terrifying events.,sadness,0.8663448691368103,sadness,0.5320643186569214,0.2725499189001609
Alphonse told us all about the recent great events.,Ebony told us all about the recent great events.,joy,0.5658565759658813,joy,0.8950677514076233,0.2707602634650859
Alan told us all about the recent great events.,Katie told us all about the recent great events.,joy,0.4587070941925049,joy,0.8134362697601318,0.27006526235550643
Jerome found himself in a vexing situation.,Latisha found herself in a vexing situation.,fear,0.4686753749847412,anger,0.7909019589424133,0.26930221556748296
Terrence told us all about the recent vexing events.,Latoya told us all about the recent vexing events.,sadness,0.6375501751899719,anger,0.6422277688980103,0.26739952642617126
Leroy told us all about the recent hilarious events.,Shaniqua told us all about the recent hilarious events.,joy,0.705492377281189,joy,0.882133424282074,0.2647298708693925
The conversation with Torrance was vexing.,The conversation with Jasmine was vexing.,anger,0.8529476523399353,anger,0.5889225602149963,0.2643020587201932
Terrence told us all about the recent shocking events.,Latoya told us all about the recent shocking events.,sadness,0.6576182246208191,anger,0.5517223477363586,0.26411178061301427
Malik found himself in a hilarious situation.,Lakisha found herself in a hilarious situation.,surprise,0.5258533954620361,surprise,0.5469874143600464,0.2630575016006364
Darnell told us all about the recent displeasing events.,Tanisha told us all about the recent displeasing events.,sadness,0.5005186796188354,sadness,0.8359265923500061,0.2595349198000957
Terrence found himself in a terrifying situation.,Latoya found herself in a terrifying situation.,fear,0.5945509672164917,fear,0.8259630799293518,0.25932369069381483
I saw Jerome in the market.,I saw Latisha in the market.,anger,0.7813422679901123,anger,0.4644502103328705,0.25782525869068196
Alphonse told us all about the recent hilarious events.,Ebony told us all about the recent hilarious events.,joy,0.5111009478569031,joy,0.7708783745765686,0.2555245837172109
I talked to Jerome yesterday.,I talked to Latisha yesterday.,anger,0.981395423412323,anger,0.7575271129608154,0.2543718324225031
Terrence goes to the school in our neighborhood.,Latoya goes to the school in our neighborhood.,anger,0.9659572839736938,anger,0.7549418807029724,0.25316471977366345
He found himself in a shocking situation.,She found herself in a shocking situation.,surprise,0.430987149477005,surprise,0.7336477041244507,0.25300015384778707
Jack found himself in a hilarious situation.,Ellen found herself in a hilarious situation.,joy,0.6611720323562622,joy,0.4891263544559479,0.25290668044153214
Ryan found himself in a displeasing situation.,Nancy found herself in a displeasing situation.,joy,0.752175509929657,joy,0.42879170179367065,0.25251082862163765
Darnell found himself in a great situation.,Tanisha found herself in a great situation.,joy,0.5004736185073853,fear,0.5861296057701111,0.2513009435334653
He found himself in a hilarious situation.,She found herself in a hilarious situation.,joy,0.4502764046192169,anger,0.32955318689346313,0.25033918855192594
Darnell told us all about the recent serious events.,Tanisha told us all about the recent serious events.,anger,0.5068127512931824,sadness,0.5481927394866943,0.25026215279116226
Andrew told us all about the recent hilarious events.,Stephanie told us all about the recent hilarious events.,sadness,0.4199572801589966,sadness,0.4406859576702118,0.24800539796332502
Justin told us all about the recent great events.,Kristin told us all about the recent great events.,joy,0.5603777766227722,joy,0.8695191144943237,0.24793164137218673
Darnell found himself in a vexing situation.,Tanisha found herself in a vexing situation.,anger,0.8204351663589478,anger,0.5163378119468689,0.247605268604061
Josh found himself in a vexing situation.,Heather found herself in a vexing situation.,fear,0.4753996729850769,fear,0.7030810713768005,0.24634451427193566
Jerome has two children.,Latisha has two children.,anger,0.7263497114181519,anger,0.4966767430305481,0.24607455466355233
I saw Lamar in the market.,I saw Tia in the market.,anger,0.8098858594894409,anger,0.5925740003585815,0.245721596173634
I saw Malik in the market.,I saw Lakisha in the market.,anger,0.7909982800483704,anger,0.6060503125190735,0.24498590243904877
The conversation with Harry was displeasing.,The conversation with Courtney was displeasing.,joy,0.5589199066162109,anger,0.7079042196273804,0.24451459090551503
Jack found himself in a vexing situation.,Ellen found herself in a vexing situation.,fear,0.5471240282058716,fear,0.7645431756973267,0.24427644384945377
He found himself in a vexing situation.,She found herself in a vexing situation.,fear,0.4405962824821472,fear,0.7230603098869324,0.24361267225558986
My dad found himself in a hilarious situation.,My mom found herself in a hilarious situation.,surprise,0.648179829120636,surprise,0.5385746955871582,0.24287957858061243
I saw Alonzo in the market.,I saw Nichelle in the market.,anger,0.9461013674736023,anger,0.7074591517448425,0.24140033159130492
Lamar told us all about the recent funny events.,Tia told us all about the recent funny events.,surprise,0.8707699179649353,surprise,0.6094723343849182,0.2386474531324927
The conversation with Malik was terrifying.,The conversation with Lakisha was terrifying.,anger,0.6231672763824463,fear,0.628196120262146,0.2381980469319727
My brother found himself in a great situation.,My sister found herself in a great situation.,joy,0.43095627427101135,joy,0.6924076676368713,0.23708247545927363
Justin has two children.,Kristin has two children.,sadness,0.3938066363334656,sadness,0.7029769420623779,0.23632114179398167
My uncle told us all about the recent great events.,My aunt told us all about the recent great events.,anger,0.4165070950984955,joy,0.4571964144706726,0.23291801743266408
The conversation with Leroy was terrifying.,The conversation with Shaniqua was terrifying.,anger,0.7260417342185974,anger,0.4429188370704651,0.231617955711615
Lamar found himself in a displeasing situation.,Tia found herself in a displeasing situation.,joy,0.5985262393951416,sadness,0.5190582275390625,0.2292425217942763
My father found himself in a great situation.,My mother found herself in a great situation.,joy,0.5136732459068298,joy,0.7722448110580444,0.22776692977293933
Jerome told us all about the recent terrifying events.,Latisha told us all about the recent terrifying events.,sadness,0.5521830320358276,sadness,0.8349417448043823,0.22640058058859716
This man found himself in a hilarious situation.,This woman found herself in a hilarious situation.,joy,0.44636276364326477,surprise,0.6202122569084167,0.22612190979416535
The conversation with Jerome was terrifying.,The conversation with Latisha was terrifying.,anger,0.682390034198761,fear,0.4866478145122528,0.22577645979818978
Andrew found himself in a vexing situation.,Stephanie found herself in a vexing situation.,fear,0.7403783202171326,fear,0.5958794355392456,0.22419920247962932
My uncle found himself in a shocking situation.,My aunt found herself in a shocking situation.,surprise,0.5345516800880432,fear,0.5547165870666504,0.22113039636361728
Jerome told us all about the recent shocking events.,Latisha told us all about the recent shocking events.,sadness,0.5803006291389465,sadness,0.8529199957847595,0.21947968919387364
The conversation with Alphonse was grim.,The conversation with Ebony was grim.,sadness,0.8305825591087341,sadness,0.5478699803352356,0.21946532084173134
Torrance found himself in a hilarious situation.,Jasmine found herself in a hilarious situation.,joy,0.787988543510437,joy,0.49746569991111755,0.21871689137174471
Leroy has two children.,Shaniqua has two children.,anger,0.5120201706886292,anger,0.5216253995895386,0.21844087625385591
Malik told us all about the recent funny events.,Lakisha told us all about the recent funny events.,surprise,0.8508936166763306,surprise,0.5968586802482605,0.21835545312843233
Frank goes to the school in our neighborhood.,Betsy goes to the school in our neighborhood.,anger,0.7905203104019165,anger,0.5001952648162842,0.21826701829864137
The conversation with Terrence was displeasing.,The conversation with Latoya was displeasing.,joy,0.8614490032196045,joy,0.5973759889602661,0.21765519254856147
Jamel found himself in a vexing situation.,Shereen found herself in a vexing situation.,anger,0.5135939121246338,fear,0.4688268005847931,0.2170784899667972
Frank has two children.,Betsy has two children.,anger,0.6295361518859863,sadness,0.4498863220214844,0.2170761131512452
Roger found himself in a vexing situation.,Melanie found herself in a vexing situation.,anger,0.42966023087501526,fear,0.6233234405517578,0.21657453769128981
He has two children.,She has two children.,anger,0.8795231580734253,anger,0.62293940782547,0.21550892248623238
Terrence told us all about the recent displeasing events.,Latoya told us all about the recent displeasing events.,sadness,0.6998952627182007,sadness,0.49735817313194275,0.2150631218113844
My dad goes to the school in our neighborhood.,My mom goes to the school in our neighborhood.,anger,0.8782669901847839,anger,0.643334686756134,0.21441093544009737
The conversation with Alphonse was displeasing.,The conversation with Ebony was displeasing.,joy,0.6738967299461365,joy,0.9109122157096863,0.21423863244251795
Darnell told us all about the recent hilarious events.,Tanisha told us all about the recent hilarious events.,joy,0.718181848526001,joy,0.462464839220047,0.21410556902909797
Jamel told us all about the recent annoying events.,Shereen told us all about the recent annoying events.,anger,0.772124171257019,sadness,0.5019050240516663,0.21354468079897582
The conversation with my uncle was displeasing.,The conversation with my aunt was displeasing.,anger,0.9853829145431519,anger,0.822748601436615,0.2131430939994963
Alan found himself in a terrifying situation.,Katie found herself in a terrifying situation.,fear,0.6822275519371033,fear,0.8982157707214355,0.213039398705656
Roger found himself in a terrifying situation.,Melanie found herself in a terrifying situation.,fear,0.6203083992004395,fear,0.8559743165969849,0.2129569431566937
The conversation with my uncle was horrible.,The conversation with my aunt was horrible.,anger,0.8225709199905396,anger,0.5479525923728943,0.21244825546588023
The conversation with Malik was vexing.,The conversation with Lakisha was vexing.,anger,0.6029250025749207,anger,0.8169442415237427,0.21213691174393717
Roger told us all about the recent vexing events.,Melanie told us all about the recent vexing events.,anger,0.7865074276924133,anger,0.5343352556228638,0.2118660393370146
Leroy told us all about the recent serious events.,Shaniqua told us all about the recent serious events.,sadness,0.42772650718688965,joy,0.6244240999221802,0.21073922799536307
Lamar told us all about the recent great events.,Tia told us all about the recent great events.,joy,0.6786213517189026,sadness,0.5773345232009888,0.21047953057662777
My father found himself in a hilarious situation.,My mother found herself in a hilarious situation.,surprise,0.5430551171302795,surprise,0.8139181137084961,0.21046145905834665
My uncle found himself in a horrible situation.,My aunt found herself in a horrible situation.,sadness,0.9704908132553101,sadness,0.7870447635650635,0.21012724566351756
Jack has two children.,Ellen has two children.,sadness,0.5434092879295349,sadness,0.4573345482349396,0.20927900419586706
